tipeee_account,youtube_channel,country,gender,date,tipeee_type1,tipeee_type2,youtube_type3,videos,viewers,views,tippers,tips
Ludovox,Ludovox,FR,N,2014-07-03,Geek,Journalisme,Entertainment,2452,16564,4351349,147,1152
HYM.MEDIA,HYM MEDIA,FR,M,2016-03-20,Autre,Littérature,People,350,30140,4068614,145,523
Science4All,science4all,FR,M,2016-02-10,Sciences & Technologies,NA,Tech,210,157363,9224711,143,380
TroubleFait,Trouble Fait,FR,M,2015-05-08,Arts & Culture,Journalisme,News,72,50337,3857592,143,624
L'Esprit Sorcier,L'Esprit Sorcier,FR,M,2015-05-18,Journalisme,Sciences & Technologies,Education,284,140472,3870758,141,480
Institut Docteur Angelique,Chaîne Catholique d'Arnaud Dumouch,BE,M,2011-11-19,Arts & Culture,NA,Education,3481,36995,9511555,140,1685
TEPA,TEPA,FR,M,2013-04-01,Streaming,NA,News,1769,87100,26148458,139,2694
TAI REFLECTIONS - STARRYSKY,STARRYSKY,FR,N,2011-12-22,Arts & Culture,Musique,Music,174,130363,12379411,134,1205
Jean-Baptiste Show,Jean-Baptiste Show,FR,M,2013-03-05,Geek,Jeux-vidéo,Games,427,686358,86494470,132,529
Démos Kratos,Démos Kratos,FR,M,2016-03-13,Journalisme,NA,News,170,77670,4831534,132,975
Virago,Aude GG,FR,F,2013-06-28,Arts & Culture,Humour,People,36,77525,1636172,130,511
Taranis News,TARANIS NEWS,FR,N,2014-02-02,Journalisme,NA,News,398,45396,17301157,129,565
Vive L'Europe !,Vive L'Europe,NA,M,2016-03-31,Arts & Culture,Journalisme,Entertainment,93,9689,2225475,123,858
Herodot'com,Herodot'com,NA,M,2015-08-09,Arts & Culture,Humour,People,53,25543,1146314,123,587
Arcana Les Mystères du Monde,Arcana les Mystères du Monde,FR,M,2015-05-04,Arts & Culture,Histoire,Entertainment,185,59092,4714327,121,861
Epic Teaching of the History,Epic Teaching of the History,FR,M,2013-08-10,Autre,Humour,Education,212,253551,32947860,118,467
L'école du chat noir,L'école du chat noir,FR,N,2018-10-07,Arts & Culture,Autre,NA,3,15289,132732,117,505
Virginie Vota,L'Esprit franc,FR,F,2016-06-11,Journalisme,Histoire,News,159,40593,4079605,116,1237
Hit the Road,Hit the Road,FR,M,2012-06-20,Photo,Sports & Loisirs,Sports,78,286411,11720630,115,1198
Techniques Spatiales,Techniques Spatiales,FR,M,2017-03-05,Sciences & Technologies,NA,People,13,43990,1037097,113,448
Passé Sauvage,Passé sauvage,FR,F,2015-08-22,Sciences & Technologies,Histoire,Tech,34,60610,728342,112,354
code- Rno,code- Rno,FR,M,2016-03-03,Humour,Sports & Loisirs,People,59,155927,13010844,112,627
Jihem Doe,Jihem Doe,FR,M,2011-11-28,Autre,Humour,Comedy,43,36489,2078916,108,497
Développeuse du Dimanche,Développeuse Du Dimanche,NA,F,2016-09-17,Jeux-vidéo,NA,Games,54,17732,497666,108,605
Simon Puech,Simon Puech,FR,M,2016-01-02,Jeux-vidéo,Sciences & Technologies,Games,68,206376,8759022,107,749
Caljbeut Cartoons Trashs,Caljbeut Cartoons Trashs,FR,M,2012-11-16,Humour,NA,Film,74,534163,54657240,103,308
GLG Part en Live,GLG video,FR,M,2007-12-01,Geek,Sciences & Technologies,Tech,1667,43910,11822804,102,548
L'énergie autrement,Chaillot Barnabé,NA,M,2013-07-24,Humour,Sciences & Technologies,Entertainment,48,113639,12057593,102,619
